ObjectId,agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,Hours_Monday,ByAppointmentOnly_Monday,ResidentsOnly_Monday,Notes_Monday,Reqs_Monday,Hours_Tuesday,ByAppointmentOnly_Tuesday,ResidentsOnly_Tuesday,Notes_Tuesday,Reqs_Tuesday,Hours_Wednesday,ByAppointmentOnly_Wednesday,ResidentsOnly_Wednesday,Notes_Wednesday,Reqs_Wednesday,Hours_Thursday,ByAppointmentOnly_Thursday,ResidentsOnly_Thursday,Notes_Thursday,Reqs_Thursday,Hours_Friday,ByAppointmentOnly_Friday,ResidentsOnly_Friday,Notes_Friday,Reqs_Friday,Hours_Saturday,ByAppointmentOnly_Saturday,ResidentsOnly_Saturday,Notes_Saturday,Reqs_Saturday,Hours_Sunday,ByAppointmentOnly_Sunday,ResidentsOnly_Sunday,Notes_Sunday,Reqs_Sunday,TEFAP_Auto_Eligible,TEFAP_Income_Levels
83,22580-PART-01,First Alliance Church,14500 New Hampshire Ave,,Silver Spring,MD,MD Montgomery County,20904,(301) 785-8571,jhinton@1stalliancechurch.com,Non-TEFAP,39.093598,-77.002365,2026-04-14 00:00:00,,,,,,6:00 PM to 8:00 PM; 2nd and 4th of the Month (Note: This is our indoor walk-in food pantry.  Please bring your own bags.),No,No, (Note: This is our indoor walk-in food pantry.  Please bring your own bags.), ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
84,19726-PART-01,Prince Emmanuel All Nations SDA Church,1925 Mitchellville Rd,,Bowie,MD,MD Prince George's County,20716,(301) 787-8493,csfb2026@peansdachurch.org,Non-TEFAP,38.915708,-76.721689,2026-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:00 PM to 3:00 PM; 4th of the Month (Note: provides walk up and home delivery distribution),No,No, (Note: provides walk up and home delivery distribution), ,N/A,N/A
85,19860-PART-01,Seneca Creek Community Church (Gaithersburg CARES),13 Firstfield Rd,,Gaithersburg,MD,MD Montgomery County,20878,(301) 793-3321,wesley@senecacreek.org,Non-TEFAP,39.140241,-77.225371,2026-04-07 00:00:00,,,,,,10:00 AM to 4:30 PM; Every week (Note: we only serve Gaithersburg residents.),Yes,No, (Note: we only serve Gaithersburg residents.), ,,,,,,10:00 AM to 4:30 PM; Every week (Note: we only serve Gaithersburg residents.),Yes,No, (Note: we only serve Gaithersburg residents.), ,1:00 PM to 4:00 PM; Every week (Note: we only serve Gaithersburg residents.),Yes,No, (Note: we only serve Gaithersburg residents.), ,"9:30 AM to 12:30 PM; 1st of the Month (Note: Our pantry is by appointment. Anyone needing an appointment should call 240-229-9642 and leave a message. We will call them to schedule an appointment, we only serve Gaithersburg residents.)",Yes,No," (Note: Our pantry is by appointment. Anyone needing an appointment should call 240-229-9642 and leave a message. We will call them to schedule an appointment, we only serve Gaithersburg residents.)", ,,,,,,N/A,N/A
86,19295-PART-01,Metropolis Club,938 Rhode Island Ave NE,,Washington,DC,DC Ward 5,20018,(301) 793-4236,sylvester1225@yahoo.com,Non-TEFAP,38.92263,-76.992631,2026-04-09 00:00:00,10:30 AM to 6:00 PM; Every week,No,No,, ,10:30 AM to 8:00 PM; Every week,No,Yes,, ,10:30 AM to 6:00 PM; Every week,No,No,, ,10:30 AM to 6:00 PM; Every week,No,No,, ,10:30 AM to 6:00 PM; Every week,No,No,, ,10:00 AM to 6:00 PM; Every week,No,No,, ,10:00 AM to 2:00 PM; Every week,No,No,, ,N/A,N/A
87,19855-PART-01,Mollemm Food Pantry,9721 Good Luck Road,,Lanham,MD,MD Prince George's County,20706,(301) 807-1383,sspeight123@verizon.net,Non-TEFAP,38.983144,-76.84118,2026-03-09 00:00:00,,,,,,10:00 AM to 1:00 PM; 4th of the Month (Note: This site is for pick up only by residents),Yes,Yes, (Note: This site is for pick up only by residents), ,1:00 PM to 2:30 PM; 3rd of the Month (Note: This site is for drop off only for senior residents),Yes,Yes, (Note: This site is for drop off only for senior residents), ,1:00 PM to 2:30 PM; 2nd of the Month (Note: This site is for drop off only for senior residents),Yes,Yes, (Note: This site is for drop off only for senior residents), ,,,,,,11:00 AM to 11:30 AM; 3rd of the Month (Note: This site is for drop off only for senior residents),Yes,Yes, (Note: This site is for drop off only for senior residents), ,12:00 PM to 2:00 PM; 3rd of the Month (Note: This site is for drop off only for senior residents),Yes,Yes, (Note: This site is for drop off only for senior residents), ,N/A,N/A
88,19796-PART-01,Oxon Hill UMC,6400 Livingston Road,,Oxon Hill,MD,MD Prince George's County,20745,(301) 807-2754,Breadministry@oxonhillumc.org,Non-TEFAP,38.80118,-76.986247,2026-04-14 00:00:00,,,,,,,,,,,,,,,,11:00 AM to 1:00 PM; Every week,No,No,, ,,,,,,,,,,,,,,,,N/A,N/A
89,18706-PART-01,Freedom Way Missionary Baptist Church,1266 Benning Road,,Capitol Heights,MD,MD Prince George's County,20743,(301) 807-6912,avebroadie@comcast.net,TEFAP Only,38.873457,-76.928589,2026-02-23 00:00:00,,,,,,,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
90,18280-MOMK-01,Greater Beulah Baptist Church,6056 Old Central Ave,,Capitol Heights,MD,MD Prince George's County,20743,(301) 808-2660,idastew@yahoo.com,Non-TEFAP,38.884964,-76.912714,2026-04-17 00:00:00,,,,,,,,,,,,,,,,,,,,,9:00 AM to 11:00 AM; 3rd of the Month,No,No,, ,,,,,,,,,,,N/A,N/A
91,223505-MOMK-01,Chinese Culture and Community Service Center,9366 Gaither Rd,,Gaithersburg,MD,MD Montgomery County,20877,(301) 820-7200,chiaochiao.liu@ccacc-dc.org,Non-TEFAP,39.1172455,-77.1921788,2026-04-13 00:00:00,1:00 PM to Until Food Runs Out; 2nd of the Month,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
92,19608-PART-01,Montgomery County Muslim Foundation,15746 Crabbs Branch Way,,Derwood,MD,MD Montgomery County,20855,(301) 825-3657,mcmfmd@gmail.com,TEFAP Available,39.14317,-77.194678,2026-04-13 00:00:00,,,,,,3:00 PM to 5:00 PM; Last of the Month (Note: MCMF has pantry distribution on last week of the month from Tuesday to Friday from 3 pm to 5 pm by appointment.),Yes,No, (Note: MCMF has pantry distribution on last week of the month from Tuesday to Friday from 3 pm to 5 pm by appointment.), ,,,,,,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
93,15870-PART-01,Fort Foote Baptist Church,8310 Fort Foot Road,,Fort Washington,MD,MD Prince George's County,20744,(301) 839-1343,jbrown1009@verizon.net,TEFAP Available,38.774351,-77.013948,2026-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,9:00 AM to 11:00 AM; 4th of the Month,No,No,, ,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
94,22688-MOMK-01,Trinity Assembly of God,4755 Walden Lane,,Lanham,MD,MD Prince George's County,20706,(301) 841-6533,info@themeljohnson.org,Non-TEFAP,38.980802,-76.871023,2026-04-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,11:30 AM to 1:30 PM; 3rd of the Month,No,No,, ,,,,,,N/A,N/A
95,19740-PART-01,St. Mark The Evangelist Catholic Church,7501 Adelphi Road,,Hyattsville,MD,MD Prince George's County,20783,(301) 852-3816,stmarkfoodpantry@gmail.com,Non-TEFAP,38.982795,-76.954048,2026-04-20 00:00:00,,,,,,9:30 AM to 12:00 PM; Every week (Note: Please bring your own reuseable bags to grocery shop.),No,No, (Note: Please bring your own reuseable bags to grocery shop.), ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
96,15130-PART-01,Metropolitan SDA Church,6303 Riggs Rd,,Hyattsville,MD,MD Prince George's County,20783,(301) 853-2224,spicepor@yahoo.com,TEFAP Available,38.966055,-76.986151,2026-04-14 00:00:00,,,,,,,,,,,10:00 AM to 12:00 PM; Every Other Week,No,No,, ,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
97,19466-PART-01,Mount Ennon Baptist Church,9832 Piscataway Road,,Clinton,MD,MD Prince George's County,20735,(301) 856-2170,dneal2308@gmail.com,TEFAP Available,38.753868,-76.922398,2026-04-17 00:00:00,,,,,,11:00 AM to 2:00 PM; Every week,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
98,19593-PART-01,"River Jordan, Inc.",15809 Livingston Road,,Accokeek,MD,MD Prince George's County,20607,(301) 873-8704,riverjordanproject@comcast.net,Non-TEFAP,38.670398,-77.012847,2026-04-08 00:00:00,,,,,,,,,,,4:00 PM to Until Food Runs Out; 2nd of the Month (Note: First come. First serve.  Drive Thru line starts at corner of Bryan Point Road and  Hickory Knoll Road (FRANKS WAY). One food Bag/Box per vehcle),No,No, (Note: First come. First serve.  Drive Thru line starts at corner of Bryan Point Road and  Hickory Knoll Road (FRANKS WAY). One food Bag/Box per vehcle), ,,,,,,,,,,,11:00 AM to Until Food Runs Out; 4th of the Month (Note: One food Bag/Box per vehicle.),No,No, (Note: One food Bag/Box per vehicle.), ,,,,,,N/A,N/A
99,19724-PART-01,First Baptist Church of District Heights,7234 Lansdale Street,,District Heights,MD,MD Prince George's County,20747,(301) 887-7380,ematthews@fbcdh.org,Non-TEFAP,38.859016,-76.880889,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,12:00 PM to 1:00 PM; Every week,No,No,, ,,,,,,,,,,,N/A,N/A
100,19588-PART-01,Clifton Park Baptist Church,8818 Piney Branch Rd,,Silver Spring,MD,MD Montgomery County,20903,(301) 891-9612,carolynpettus@verizon.net,TEFAP Available,39.000211,-76.994071,2026-04-22 00:00:00,,,,,,,,,,,"11:00 AM to 2:00 PM; Every week (Note: Serving residents from zip codes 20901, 20903, 20910, 20912)",No,No," (Note: Serving residents from zip codes 20901, 20903, 20910, 20912)", ,"9:00 AM to 12:00 PM; Every week (Note: Serving residents from zip codes 20901, 20903, 20910, 20912)",No,No," (Note: Serving residents from zip codes 20901, 20903, 20910, 20912)", ,"10:00 AM to 11:30 AM; 3rd of the Month (Note: Serving residents from zip codes 20901, 20903, 20910, 20910 (Per TEFAP Guidelines,  anyone in the state of MD can receive food from the program if they meet the qualifications.)",No,No," (Note: Serving residents from zip codes 20901, 20903, 20910, 20910 (Per TEFAP Guidelines,  anyone in the state of MD can receive food from the program if they meet the qualifications.)", ,"8:30 AM to 10:30 AM; 1st of the Month (Note: Serving residents from zip codes 20901, 20903, 20910, 20912 (Serving residents in various zip codes other than the four listed here in MD and DC.)",No,No," (Note: Serving residents from zip codes 20901, 20903, 20910, 20912 (Serving residents in various zip codes other than the four listed here in MD and DC.)", ,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
101,22689-MOMK-01,Our Saviour's Lutheran Church,4915 St. Barnabas Rd.,,Temple Hills,MD,MD Prince George's County,20748,(301) 894-3556,kagabrielsen@peoplepc.com,Non-TEFAP,38.821966,-76.956562,2026-04-17 00:00:00,,,,,,,,,,,,,,,,,,,,,4:30 PM to 6:30 PM; 3rd of the Month,No,No,, ,,,,,,,,,,,N/A,N/A
102,19594-PART-01,Oxon Hill Church of Christ,4201 Brinkley Road,,Temple Hills,MD,MD Prince George's County,20748,(301) 894-5412,lbjrksb@verizon.net,Non-TEFAP,38.799954,-76.935421,2026-02-26 00:00:00,,,,,,,,,,,9:00 AM to 11:00 AM; 4th of the Month,Yes,No,, ,,,,,,,,,,,11:00 AM to 1:00 PM; 2nd and 4th of the Month,No,No,, ,,,,,,N/A,N/A
103,19839-PART-01,Central Baptist Church of Camp Springs,5600 Old Branch Avenue,,Camp Springs,MD,MD Prince George's County,20748,(301) 899-3800,jacqueline.burke@centralbaptistchurchcs.org,TEFAP Available,38.813024,-76.913053,2026-04-13 00:00:00,,,,,,10:00 AM to 12:00 PM; Every week (Note: TEFAP distribution is on the 4th Tuesday of each month.),No,No, (Note: TEFAP distribution is on the 4th Tuesday of each month.), ,,,,,,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
104,14240-PART-01,Interfaith Community Action Council - Oxon Hill Food Pantry,4915 Saint Barnabas Road,,Temple Hills,MD,MD Prince George's County,20748,(301) 899-8358,oxonhillfoodpantry@gmail.com,TEFAP Available,38.821966,-76.956562,2026-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,9:30 AM to 12:00 PM; 2nd and 4th of the Month,Yes,No,, ,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
105,19733-PART-01,St. Stephen's Baptist Church,5757 Temple Hill Road,,Camp Springs,MD,MD Prince George's County,20748,(301) 899-8885,robinreis27@gmail.com,TEFAP Available,38.803948,-76.933127,2026-04-14 00:00:00,,,,,,11:00 AM to 3:00 PM; Every week (Note: Maryland residents only),No,No, (Note: Maryland residents only), ,,,,,,,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
106,18786-PART-01,Bethesda Cares,5033 Wilson Lane,,Bethesda,MD,MD Montgomery County,20814,(301) 907-9244,john@bethesdacares.org,TEFAP Only,38.987558,-77.100314,2026-04-10 00:00:00,11:00 AM to 1:00 PM; Every week (Note: walk-ins hotmeals),No,No, (Note: walk-ins hotmeals), ,11:00 AM to 1:00 PM; Every week (Note: walk-ins hotmeals),No,No, (Note: walk-ins hotmeals), ,11:00 AM to 1:00 PM; Every week (Note: walk in hot meals),No,No, (Note: walk in hot meals), ,11:00 AM to 1:00 PM; Every week (Note: walk in hot meals),No,No, (Note: walk in hot meals), ,11:00 AM to 1:00 PM; Every week (Note: walk ins hot meals give meals for Saturday on Fridays),No,No, (Note: walk ins hot meals give meals for Saturday on Fridays), ,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
107,18722-PART-01,Prince George's County DSS,425 Brightseat Rd,,Landover,MD,MD Prince George's County,20785,(301) 909-6364,beverly.bruce@maryland.gov,TEFAP Only,38.900924,-76.85154,2026-04-23 00:00:00,8:30 AM to 4:30 PM; Every week,No,No,, ,8:30 AM to 4:30 PM; Every week,Yes,No,, ,8:30 AM to 4:30 PM; Every week,Yes,No,, ,8:30 AM to 4:30 PM; Every week,Yes,No,, ,8:30 AM to 4:30 PM; Every week,Yes,No,, ,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
108,14375-PART-01,Agape Early Childhood Learning,4318 Rhode Island Avenue,,Brentwood,MD,MD Prince George's County,20722,(301) 927-4674,agapeearly@gmail.com,Non-TEFAP,38.941875,-76.952379,2026-04-14 00:00:00,,,,,,,,,,,"3:00 PM to 5:00 PM; 2nd of the Month (Note: Appointments open to parents, staff, and referred families)",Yes,No," (Note: Appointments open to parents, staff, and referred families)", ,,,,,,,,,,,,,,,,,,,,,N/A,N/A
109,19412-PART-01,First Baptist Church of Mount Rainier,3103 Shepherd Street,,Mount Rainier,MD,MD Prince George's County,20712,(301) 927-5565,barb20748@aol.com,Non-TEFAP,38.939541,-76.963621,2026-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,11:00 AM to 1:00 PM; Every Other Week,No,No,, ,,,,,,,,,,,N/A,N/A
110,19302-PART-01,Crossover Church,5340 Baltimore Ave,,Hyattsville,MD,MD Prince George's County,20781,(301) 927-5620,wilsoncacco@gmail.com,TEFAP Available,38.955136,-76.940868,2026-04-02 00:00:00,,,,,,,,,,,,,,,,,,,,,8:30 AM to 11:00 AM; Every week,Yes,No,, ,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
111,19506-PART-01,Mid County United Ministries (MUM),11002 Viers Mill Road,Suite 710,Wheaton,MD,MD Montgomery County,20902,(301) 929-8675,midcountyunitedministries@gmail.com,Non-TEFAP,39.034925,-77.052318,2026-04-08 00:00:00,,,,,,,,,,,"10:00 AM to 12:00 PM; Every week (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)
1:00 PM to 3:00 PM; Every week (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)",Yes,No," (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)
 (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)"," 
 ","10:00 AM to 12:00 PM; Every week (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)
1:00 PM to 3:00 PM; Every week (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)",Yes,No," (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)
 (Note: By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910 & 20912.)"," 
 ",,,,,,,,,,,,,,,,N/A,N/A
112,19385-PART-01,Emmanuel UMC,11416 Cedar Lane,,Beltsville,MD,MD Prince George's County,20705,(301) 937-7114,pastorking@eumcbeltsville.com,Non-TEFAP,39.0431293,-76.9187044,2026-03-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 AM to 11:00 AM; 4th of the Month,No,No,, ,,,,,,N/A,N/A
113,16400-PART-01,Nick's Place,10482 Baltimore Ave Suite 199,,Beltsville,MD,MD Prince George's County,20705,(301) 938-5876,tylerbushey@nicksplace.org,Non-TEFAP,39.048968,-76.91263,2026-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
114,19472-PART-01,Montgomery County Family Center,12247 Georgia Ave.,,Silver Spring,MD,MD Montgomery County,20902,(301) 942-1790,Ashley.Uribe@cc-dc.org,TEFAP Available,39.056147,-77.049338,2026-02-27 00:00:00,,,,,,"9:00 AM to 4:00 PM; 2nd, 3rd, and 4th of the Month",No,No,, ,,,,,,"9:00 AM to 4:00 PM; 2nd, 3rd, and 4th of the Month",No,No,, ,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
115,19472-PUSH-01,Montgomery County Family Center,12247 Georgia Ave,,Silver Spring,MD,MD Montgomery County,20902,(301) 942-1790,ashley.uribe@cc-dc.org,Non-TEFAP,39.056147,-77.049338,2026-04-07 00:00:00,,,,,,11:00 AM to 1:00 PM; 1st of the Month,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
116,19859-PART-01,Hughes United Methodist Church,10700 Georgia Ave,,Wheaton,MD,MD Montgomery County,20902,(301) 949-8383,djuliawingeier50@gmail.com,TEFAP Available,39.030335,-77.048295,2026-04-20 00:00:00,,,,,,9:00 AM to 11:00 AM; Every week (Note: Montgomery County Residents),No,No, (Note: Montgomery County Residents), ,"9:00 AM to 10:00 AM; Every week (Note: Montgomery County residents 60 years or older)
3:00 PM to 5:00 PM; Every week (Note: food packages are delivered to individuals with physical impediment)","No
Yes",No," (Note: Montgomery County residents 60 years or older)
 (Note: food packages are delivered to individuals with physical impediment)"," 
 ",,,,,,,,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
117,19477-PART-01,Maryland Umbrella Group,408 Addison Road South,,Seat Pleasant,MD,MD Prince George's County,20743,(301) 968-7816,cbatey@m-u-g.org,TEFAP Available,38.883589,-76.896282,2026-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,9:00 AM to 12:00 PM; 1st and 3rd of the Month (Note: Our food distribution is in conjunction with our diaper registration.  You must pre-register for diapers to receive food: https://m-u-g.org/diaper-pantry#.),Yes,Yes, (Note: Our food distribution is in conjunction with our diaper registration.  You must pre-register for diapers to receive food: https://m-u-g.org/diaper-pantry#.), ,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
118,15095-PART-01,Dupont Park SDA Church,3942 Alabama Ave SE,,Washington,DC,DC Ward 7,20019,(301) 980-6274,Communitysvcs@dupontpark.org,Non-TEFAP,38.869469,-76.947986,2026-04-06 00:00:00,,,,,,10:00 AM to 12:00 PM; Every week,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
119,18110-MOMK-01,Alafia Baptist Church,3623 Eastern Avenue,,Mount Rainier,MD,MD Prince George's County,20712,(301) 985-3090,e.adigun@verizon.net,Non-TEFAP,38.934837,-76.962584,2026-04-09 00:00:00,,,,,,,,,,,,,,,,9:30 AM to 11:30 AM; 2nd and 4th of the Month (Note: distribution may begin earlier depending on delivery),No,No, (Note: distribution may begin earlier depending on delivery), ,,,,,,,,,,,,,,,,N/A,N/A
120,22520-MOMK-01,First UMC of Hyattsville,6201 Belcrest RD,,Hyattsville,MD,MD Prince George's County,20782,(301) 985-5000,mlefevre@hyattsville.org,Non-TEFAP,38.964761,-76.951788,2026-04-21 00:00:00,,,,,,11:00 AM to 1:30 PM; 3rd of the Month,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
121,19595-PART-01,Beltsville Adventist Community Center,4200 Ammendale Rd.,,Beltsville,MD,MD Prince George's County,20705,(301) 996-7803,sifap@pcsda.org,Non-TEFAP,39.053476,-76.921374,2026-04-20 00:00:00,,,,,,9:00 AM to 2:00 PM; Every week,No,No,, ,9:00 AM to 2:00 PM; Every week (Note: Plan to arrive by 1:30 PM to be served),No,No, (Note: Plan to arrive by 1:30 PM to be served), ,,,,,,10:30 AM to 1:30 PM; 4th of the Month (Note: Our Friday food distribution is temporarily suspended until further notice. We appreciate your understanding and support.),No,No, (Note: Our Friday food distribution is temporarily suspended until further notice. We appreciate your understanding and support.), ,,,,,,,,,,,N/A,N/A
122,19656-PART-01,"Brookland Senior Day Care Center, Inc.",6210 Chillum Place NW,,Washington,DC,DC Ward 4,20011,(302) 242-6681,bishopsarge@gmail.com,Non-TEFAP,38.966051,-77.011196,2026-04-10 00:00:00,,,,,,12:30 PM to 2:00 PM; Every week,No,Yes,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
123,14820-PART-01,Nineteenth Street Baptist Church,4606 16th St NW,,Washington,DC,DC Ward 4,20011,(314) 322-6877,lynnhoban@outlook.com,Non-TEFAP,38.946873,-77.036844,2026-03-04 00:00:00,,,,,,,,,,,,,,,,10:00 AM to 1:00 PM; 2nd and 4th of the Month,No,No,, ,,,,,,,,,,,,,,,,N/A,N/A
124,15060-PART-03,Tender Love & Care,822 Cox Ave,,Hyattsville,MD,MD Prince George's County,20783,(434) 315-1601,eaalrc@gmail.com,Non-TEFAP,38.965614,-76.993386,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
125,19792-PART-01,Holy Mountain International Ministries,6721 Mid Cities Avenue,,Beltsville,MD,MD Prince George's County,20705,(443) 367-1951,rhonda.bello1@gmail.com,TEFAP Available,39.053453,-76.889678,2026-04-02 00:00:00,,,,,,,,,,,,,,,,,,,,,9:00 AM to Until Food Runs Out; Every week (Note: Can call to make an appointment any day),No,No, (Note: Can call to make an appointment any day), ,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
126,19587-PART-01,Restoration Church,5600 Sunnyside Avenue,,Beltsville,MD,MD Prince George's County,20705,(443) 622-9428,masterstouch@rccgrc.org,TEFAP Available,39.001881,-76.876366,2026-04-15 00:00:00,,,,,,,,,,,11:00 AM to 1:00 PM; Every week,No,No,, ,,,,,,,,,,,,,,,,11:30 AM to 12:30 PM; 2nd and 4th of the Month,No,No,, ,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ
127,19047-PART-01,"Church of the Incarnation, St. Vincent De Paul Society",880 Eastern Ave  NE,,Washington,DC,DC Ward 7,20019,(540) 760-5608,tawandaharrison47@gmail.com,Non-TEFAP,38.901297,-76.920549,2026-03-27 00:00:00,,,,,,10:30 AM to 1:30 PM; 3rd of the Month,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
128,22288-PART-01,Mount Olive Baptist Church,6600 Old Centerville Rd,n/a,Centerville,VA,VA Fairfax County,20121,(571) 216-4861,missions@mountolive-church.org,Non-TEFAP,38.819537,-77.445715,2026-04-14 00:00:00,,,,,,1:00 PM to 2:00 PM; 2nd and 4th of the Month,No,No,, ,,,,,,,,,,,,,,,,9:00 AM to 10:00 AM; 3rd of the Month,No,No,, ,,,,,,N/A,N/A
129,18330-MOMK-02,Fort Belvoir ACS,5965 6th St,,Fort Belvoir,VA,VA Fairfax County,22060,(571) 231-7000,tammye.l.braddy.civ@army.mil,Non-TEFAP,38.859242,-77.133843,2026-04-01 00:00:00,,,,,,,,,,,11:00 AM to 1:00 PM; 1st of the Month,No,No,, ,,,,,,,,,,,,,,,,,,,,,N/A,N/A
130,19751-PART-01,Community of Faith United Methodist Church,13224 Franklin Farm Rd,,Herndon,VA,VA Fairfax County,20171,(571) 232-8819,food@cofumc.org,Non-TEFAP,38.908063,-77.403707,2026-03-10 00:00:00,,,,,,4:00 PM to 6:00 PM; Every week,No,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A
